match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T205352,CSK Vs DC,DC,ShardulThakur,3,0,38,0,12.66,5,4,2,2,0
T205352,CSK Vs DC,DC,KhaleelAhmed,4,0,28,2,7,10,2,1,3,0
T205352,CSK Vs DC,DC,AnrichNortje,4,0,42,3,10.5,6,5,1,0,1
T205352,CSK Vs DC,DC,AxarPatel,3,0,23,0,7.66,5,0,2,0,0
T205352,CSK Vs DC,DC,KuldeepYadav,3,0,43,0,14.33,4,4,3,2,0
T205352,CSK Vs DC,DC,MitchellMarsh,3,0,34,1,11.33,3,2,1,3,0
T205352,CSK Vs DC,CSK,MukeshChoudhary,3,0,22,2,7.33,10,1,2,0,0
T205352,CSK Vs DC,CSK,SimarjeetSingh,4,0,27,2,6.75,13,3,1,1,0
T205352,CSK Vs DC,CSK,MaheeshTheekshana,4,0,29,1,7.25,13,4,1,0,0
T205352,CSK Vs DC,CSK,DwayneBravo,2.4,0,24,2,9,6,4,0,1,0
T205352,CSK Vs DC,CSK,MoeenAli,4,0,13,3,3.25,16,0,1,0,0
T207464,RCB Vs SRH,SRH,JagadeeshaSuchith,4,0,30,2,7.5,12,1,2,2,0
T207464,RCB Vs SRH,SRH,BhuvneshwarKumar,4,0,34,0,8.5,7,2,2,0,0
T207464,RCB Vs SRH,SRH,FazalhaqFarooqi,4,0,47,0,11.75,6,4,3,0,0
T207464,RCB Vs SRH,SRH,KartikTyagi,4,0,42,1,10.5,10,4,2,3,1
T207464,RCB Vs SRH,SRH,UmranMalik,2,0,25,0,12.5,4,4,1,0,0
T207464,RCB Vs SRH,SRH,AbhishekSharma,2,0,13,0,6.5,2,1,0,0,0
T207464,RCB Vs SRH,RCB,GlennMaxwell,2,0,13,1,6.5,7,1,1,0,0
T207464,RCB Vs SRH,RCB,JoshHazlewood,4,0,17,2,4.25,13,2,0,0,0
T207464,RCB Vs SRH,RCB,ShahbazAhmed,2,0,20,0,10,3,3,0,2,0
T207464,RCB Vs SRH,RCB,MohammedSiraj,3,0,27,0,9,7,1,2,1,0
T207464,RCB Vs SRH,RCB,MahipalLomror,1,0,7,0,7,2,1,0,0,0
T207464,RCB Vs SRH,RCB,HarshalPatel,3.2,0,20,1,6,9,1,1,1,0
T207464,RCB Vs SRH,RCB,WaninduHasaranga,4,1,18,5,4.5,14,1,1,0,0
T204710,LSG Vs KKR,KKR,TimSouthee,4,0,28,1,7,12,3,1,0,0
T204710,LSG Vs KKR,KKR,ShivamMavi,4,0,50,1,12.5,10,3,5,1,0
T204710,LSG Vs KKR,KKR,SunilNarine,4,0,20,1,5,12,0,1,0,0
T204710,LSG Vs KKR,KKR,AnukulRoy,3,0,27,0,9,4,2,1,0,0
